yil,puan,TYT,SAY,SOZ,EA,DIL
2025,550,14,57,1,4,12
2025,530,601,1930,7,58,151
2025,510,3648,7081,26,261,596
2025,490,11733,16140,77,742,1606
2025,470,27141,29410,254,1629,3514
2025,450,52500,46142,721,3422,6543
2025,430,88915,65449,1926,8145,11267
2025,410,137133,87117,5036,20244,17830
2025,390,201126,111498,12522,42590,25711
2025,370,286158,139619,28323,76959,34148
2025,350,397823,174355,57848,125389,43151
2025,330,545280,217778,108894,192949,52414
2025,310,737144,274252,190203,287630,62210
2025,290,976188,348397,309551,418975,72337
2025,270,1251236,449880,468930,592803,83162
2025,250,1542701,596635,658973,806796,94736
2025,230,1835041,811201,849410,1042314,107318
2025,210,2099883,1052783,1010174,1262545,120937
2025,190,2270224,1228141,1121933,1425544,132272
2025,170,2308495,1287932,1168866,1489209,138558
2025,150,2310553,1291491,1173955,1494521,140478
2025,130,2310579,1291531,1174046,1494611,140655
2025,115,2310579,1291531,1174047,1494612,140657
2026,550,112,154,4,12,14
2026,530,2045,3500,14,98,231
2026,510,8638,12887,69,394,942
2026,490,22600,27402,221,1118,2252
2026,470,45313,44919,606,2482,4241
2026,450,76021,63669,1566,5299,7472
2026,430,115071,83511,4058,12363,12254
2026,410,163211,105112,10184,29700,18566
2026,390,225038,129485,22750,58772,26352
2026,370,305570,157778,45237,97839,34585
2026,350,412011,191247,82479,148570,43129
2026,330,553526,232317,140496,215631,51784
2026,310,735519,282213,223004,307918,60948
2026,290,961261,344726,333238,429479,70670
2026,270,1219171,425443,474443,585271,81109
2026,250,1499060,533920,642816,775922,92274
2026,230,1782951,681176,814264,990764,104127
2026,210,2033331,858167,953036,1196809,116152
2026,190,2166477,1019046,1040347,1347025,125789
2026,170,2186977,1117304,1078859,1412649,131233
2026,150,2187734,1135198,1085505,1421093,132714
2026,130,2187742,1135713,1085697,1421289,132825
2026,115,2187743,1135718,1085698,1421290,132826
